bookID,title,authors,average_rating,isbn,language_code,ratings_count,price
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,380715430,eng,26672,251
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,eng,97731,252
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618517650,eng,1670,253
32,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618346244,eng,2819,254
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,618346252,eng,2009749,255
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,618260587,en-US,1606,256
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,618391002,eng,18934,257
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,eng,343,258
38,The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,618153977,eng,216,259
40,Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,eng,1214,260
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,097669400X,eng,1269,261
50,Hatchet,Gary Paulsen,3.7,689840926,eng,254827,262
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,1557344493,eng,35,263
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,385326505,eng,1996,264
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,eng,6,265
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,1595580271,en-US,99,266
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,1595962808,eng,167,267
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,eng,957,268
59,The Changeling Sea,Patricia A. McKillip,4.07,141312629,eng,4319,269
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,eng,1155,270
63,The Changeling,Kate Horsley,3.56,1590301943,eng,295,271
66,The Changeling (Daughters of England  #15),Philippa Carr,3.99,449146979,eng,341,272
67,The Known World,Edward P. Jones,3.83,61159174,eng,28962,273
68,The Known World,Edward P. Jones-Kevin R. Free,3.83,006076273X,en-US,50,274
69,The Known World,Edward P. Jones,3.83,60749911,eng,22,275
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,eng,1398,276
72,Artesia: Adventures in the Known World,Mark Smylie,4.16,1932386106,eng,50,277
73,The Known World,Edward P. Jones,3.83,096513671X,eng,15,278
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,374517193,eng,550,279
75,Uncommon Carriers,John McPhee,3.95,374280398,en-US,1561,280
76,Heirs of General Practice,John McPhee,4.15,374519749,eng,253,281
77,The Control of Nature,John McPhee,4.24,374522596,en-US,3365,282
78,Annals of the Former World,John McPhee,4.33,374518734,eng,2966,283
79,Coming Into the Country,John McPhee,4.22,374522871,eng,5452,284
80,La Place de la Concorde Suisse,John McPhee,3.91,374519323,eng,671,285
81,Giving Good Weight,John McPhee,4.22,374516006,eng,533,286
83,Rising from the Plains,John McPhee,4.22,374520658,eng,1263,287
85,The Heidi Chronicles,Wendy Wasserstein,3.73,822205106,eng,1348,288
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,679734996,eng,2732,289
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,eng,31,290
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,1581807740,en-US,61,291
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,800793617,eng,822,292
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.7,871202867,en-US,71,293
93,Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,753454947,eng,150657,294
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,871209993,eng,53,295
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,1852402873,eng,34,296
98,What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,761129588,eng,11489,297
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,972016414,eng,34,298
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,en-US,75,299
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,441294677,eng,2692,300
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.9,441102670,eng,38651,301
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,441172695,eng,96649,302
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4,765306476,en-US,755,303
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,399128980,eng,261,304
110,The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,765353709,eng,4561,305
112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,441104029,eng,84276,306
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,441328008,eng,45211,307
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,eng,66687,308
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,eng,44,309
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,785260056,en-US,16,310
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,471780936,eng,163,311
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,325001537,eng,10,312
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,006076287X,eng,73,313
133,eBay for Dummies,Marsha Collier,3.5,470045299,eng,102,314
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,72262788,eng,24,315
137,Starting an eBay Business for Dummies,Marsha Collier,3.52,764569244,eng,51,316
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,eng,9,317
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,764559915,en-US,19,318
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,en-US,17,319
141,Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,596523696,eng,163,320
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,806523492,eng,47,321
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,eng,12,322
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,596527314,eng,49,323
151,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,143035002,eng,15747,324
152,Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,451528611,eng,108970,325
153,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,140449175,eng,2835,326
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman-Leo Tolstoy,3.89,822001837,eng,15,327
155,Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,1593080271,eng,9362,328
156,Anna Karenina,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,486437965,eng,460,329
157,Anna Karenina,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,1593081774,eng,298,330
159,Dinner with Anna Karenina,Gloria Goldreich,2.96,778322270,eng,400,331
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,eng,1191,332
162,Untouchable,Mulk Raj Anand-E.M. Forster,3.7,140183957,eng,3168,333
163,The Untouchable,John Banville,3.96,679767479,eng,2077,334
164,The Untouchables,Eliot Ness-Oscar Fraley,3.89,1568491980,eng,587,335
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,en-US,299,336
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar-Y.N. Kly,4.33,932863051,eng,9,337
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,742508803,eng,16,338
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,eng,10,339
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello-Patty Carratello-Theresa Wright,3.94,1557344035,eng,17,340
180,Wrinkles in Time,George Smoot-Keay Davidson,3.99,380720442,en-US,985,341
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.01,821925326,eng,37,342
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.57,043927169X,eng,14,343
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.01,606105263,spa,6,344
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.11,751506435,eng,366,345
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,eng,2934,346
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,743499344,en-US,346,347
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,eng,9530,348
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford-James Lee Burke,3.91,1400032490,eng,770,349
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford-Lawrence Block,4.04,1400032482,eng,688,350
216,Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,1400032466,eng,2739,351
231,I am Charlotte Simmons,Tom Wolfe,3.41,312424442,eng,20508,352
237,Poetry for Young People: Edward Lear,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.9,806930772,eng,64,353
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.04,140366601,eng,76,354
245,Henry Miller on Writing,Henry Miller-Thomas H. Moore,4.23,811201120,eng,937,355
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,eng,3237,356
249,Tropic of Cancer,Henry Miller-Jiří Níl,3.69,802131786,eng,50905,357
250,Tropic of Capricorn,Henry Miller,3.82,802151825,eng,13549,358
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.09,802151787,eng,3181,359
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,802151809,eng,7024,360
253,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,eng,2627,361
264,The Portrait of a Lady,Henry James-Patricia Crick,3.77,141439637,eng,60027,362
269,The Portrait of a Lady,Henry James-Gabriel Brownstein-Mary Cregan,3.77,1593080964,eng,386,363
275,The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,375700528,eng,22014,364
278,The War,Marguerite Duras-Barbara Bray-قلسم روبین,3.85,1565842219,eng,918,365
280,The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,394743040,en-US,1939,366
281,Destroy  She Said,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,080215154X,eng,532,367
283,L'Amant de la Chine du Nord,Marguerite Duras,3.89,2070388093,fre,312,368
285,Love Letters,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,1851681825,eng,201,369
288,Kahlil Gibran: His Life and World,Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.2,156656249X,eng,33,370
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,014019553X,eng,320,371
290,Jesus the Son of Man,Kahlil Gibran-جبران خليل جبران,3.98,394431243,eng,1272,372
291,The Broken Wings,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,806501901,eng,6175,373
292,Sand and Foam,Kahlil Gibran-جبران خليل جبران,4.08,067943920X,eng,2893,374
295,Treasure Island,Robert Louis Stevenson,3.83,753453800,eng,301399,375
296,Treasure Island,Robert Louis Stevenson-Scott McKowen,3.83,1402714572,en-US,393,376
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,eng,5900,377
298,Treasure Island,Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,689854684,eng,103,378
299,Treasure Island,Robert Louis Stevenson-Milo Winter,3.83,517221144,en-US,56,379
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,1577658051,eng,85,380
304,Daniel Deronda,George Eliot-Edmund White,3.83,037576013X,eng,19852,381
313,100 Years of Lynchings,Ralph Ginzburg,4.63,933121180,eng,81,382
320,One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,60531045,eng,547207,383
324,Cien años de soledad,Gabriel García Márquez,4.06,785950109,spa,54,384
325,Cien años de soledad,Gabriel García Márquez,4.06,8423919005,spa,73,385
330,On Beyond Zebra!,Dr. Seuss,4.04,394800842,eng,2724,386
332,The Wedding Clause,Debbie Raleigh,3.58,821778250,eng,89,387
333,The Zebra Wall,Kevin Henkes,3.46,60733039,eng,206,388
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,spa,3956,389
338,Jitterbug Perfume,Tom Robbins,4.24,553348981,eng,4157,390
343,Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,140120831,eng,212561,391
347,Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,1582881847,eng,250,392
348,The Door Into Summer,Robert A. Heinlein,4.01,345413997,eng,16743,393
349,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,312863551,eng,3667,394
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,eng,241727,395
352,The Notebooks of Lazarus Long,Robert A. Heinlein-Stephen Hickman,4.07,074348844X,en-US,3192,396
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,en-US,10140,397
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,en-US,15580,398
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,eng,6723,399
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,en-US,65988,400
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,345455290,eng,21562,401
360,Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,345418778,en-US,72235,402
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,eng,2548,403
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,eng,864,404
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams-Christopher Cerf,3.92,1417622857,eng,5,405
378,The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,394820371,en-US,206193,406
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus-Norton Juster,4.1,573650969,eng,94,407
385,On Bullshit,Harry G. Frankfurt,3.57,691122946,eng,8773,408
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,eng,9053,409
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.13,671867423,en-US,119,410
397,The Gettysburg Address,Abraham Lincoln-Michael McCurdy,4.53,395883970,eng,4967,411
399,Underworld,Don DeLillo,3.92,684848155,eng,1471,412
400,Libra,Don DeLillo,3.99,140156046,eng,11361,413
402,Mao II,Don DeLillo,3.68,140152741,eng,8085,414
403,Americana,Don DeLillo,3.43,140119485,eng,367,415
404,Running Dog,Don DeLillo,3.42,679722947,eng,1285,416
406,Cosmopolis,Don DeLillo,3.22,743244257,eng,449,417
407,Great Jones Street,Don DeLillo,3.48,140179178,eng,2385,418
408,The Names,Don DeLillo,3.64,679722955,eng,2990,419
409,Against the Day,Thomas Pynchon,4.12,159420120X,eng,5110,420
410,V.,Thomas Pynchon,3.96,60930217,eng,1364,421
411,The Crying of Lot 49,Thomas Pynchon,3.7,60931671,eng,2132,422
412,Gravity's Rainbow,Thomas Pynchon,4.02,140283382,eng,752,423
413,Mason & Dixon,Thomas Pynchon,4.06,312423209,eng,7756,424
414,Vineland,Thomas Pynchon,3.68,141180633,en-US,668,425
415,Gravity's Rainbow,Thomas Pynchon,4.02,143039946,eng,28034,426
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432,eng,322,427
418,Been Down So Long It Looks Like Up To Me,Richard Fariña-Thomas Pynchon,3.81,140189300,eng,2356,428
420,The Year of Magical Thinking,Joan Didion,3.88,140004314X,en-US,2507,429
421,The White Album,Joan Didion,4.17,374522219,eng,10584,430
422,A Book of Common Prayer,Joan Didion,3.8,679754865,eng,2790,431
423,Where I Was From,Joan Didion,3.86,679752862,eng,2665,432
425,Democracy,Joan Didion,3.81,679754857,en-US,1963,433
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion-John Leonard,4.49,307264874,eng,1486,434
428,Play It as It Lays,Joan Didion-David Thomson,3.87,374529949,eng,21868,435
431,The New York Trilogy,Paul Auster-Art Spiegelman-Luc Sante,3.9,143039830,eng,40276,436
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317,eng,11696,437
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.65,014009735X,eng,3443,438
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762,eng,2818,439
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon-Preston B. Nichols-Nina Helms,3.91,963188925,eng,70,440
446,The Brooklyn Follies,Paul Auster,3.83,312426232,eng,17317,441
447,Moon Palace,Paul Auster,3.98,140115854,eng,14594,442
449,Timbuktu,Paul Auster,3.68,312263996,eng,9200,443
450,Neon Lit: Paul Auster's City of Glass,Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan,3.92,038077108X,eng,120,444
453,The Music of Chance,Paul Auster,3.9,140154078,en-US,354,445
454,Travels in the Scriptorium,Paul Auster,3.23,805081453,eng,6492,446
456,Leviathan,Paul Auster,3.95,140178139,eng,11238,447
463,The Red Notebook: True Stories,Paul Auster,3.77,811214982,eng,2306,448
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.4,2742741461,fre,20,449
472,Why Write?,Paul Auster,3.77,1886224145,eng,126,450
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,143036556,eng,49219,451
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb-Glen C. Strathy,3.39,446579785,en-US,207,452
477,Collapse of Complex Societies,Joseph A. Tainter,4.13,052138673X,eng,676,453
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.79,743203046,eng,4418,454
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.92,034543871X,eng,58,455
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,393318281,eng,269,456
493,My Inventions,Nikola Tesla,4.01,1599869942,eng,2506,457
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer-William H. Terbo,3.77,806519606,eng,2613,458
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.95,822549204,eng,102,459
498,Tesla Papers,Nikola Tesla-David Hatcher Childress,4.12,932813860,eng,100,460
505,The Invention of Tradition,Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn,3.96,521437733,eng,765,461
511,Boys of Summer,Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye,3.77,373792689,eng,474,462
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas-Chad Fowler-Andy Hunt,4.04,974514055,en-US,1525,463
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly-CliffsNotes-William Golding,3.92,764585975,eng,66,464
524,Lord of the Flies,William Golding,3.67,307281701,eng,369,465
525,Lord of the Flies,William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein,3.67,399529209,eng,1122,466
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,812969707,eng,1601,467
534,We Were Not Like Other People,Ephraim Sevela-Antonina W. Bouis,4.15,60255080,eng,1,468
537,The Lovely Bones,Alice Sebold,3.79,330485385,en-GB,6315,469
538,The Lovely Bones,Alice Sebold,3.79,159413023X,en-US,366,470
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.81,345360354,eng,1346,471
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea-Molly E. Holzschlag,4,321303474,en-US,767,472
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,321430840,en-US,540,473
576,1000 Record Covers,Michael Ochs-Patrick Javault-Ulrike Wasel,3.84,3822840858,mul,274,474
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.83,743264460,eng,25004,475
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.74,743236017,eng,59646,476
604,Reefer Madness: Sex  Drugs  and Cheap Labor in the American Black Market,Eric Schlosser,3.77,965762645,eng,125,477
619,Vice (V  #8),Jane Feather,3.51,553572490,eng,462,478
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,60589469,eng,157734,479
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley-Carol Heyer-Scott Goto,4.08,802789471,en-US,1730,480
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto-Thomas J. Steele,3.72,688060692,en-GB,271,481
643,Motorcycle Basics Techbook,John Harold Haynes,3.83,185960515X,eng,36,482
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel-Bill Gardner,3.96,1592530877,eng,27,483
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy-Hugh McLean,4.1,451528808,eng,7123,484
656,War and Peace,Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude,4.11,192833987,eng,201919,485
658,The Kingdom of God Is Within You,Leo Tolstoy-Constance Garnett,4.13,486451380,eng,2256,486
661,Hunters Of Dune (Dune Chronicles  #7),Brian Herbert-Kevin J. Anderson,3.65,340837489,en-GB,65,487
662,Atlas Shrugged,Ayn Rand-Leonard Peikoff,3.68,452011876,eng,311883,488
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,451163087,eng,2674,489
664,The Fountainhead,Ayn Rand,3.86,452286751,en-US,1860,490
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand-Nathaniel Branden,3.5,451163931,eng,11122,491
667,Anthem,Ayn Rand,3.63,452281253,eng,106642,492
668,We the Living,Ayn Rand-Leonard Peikoff,3.91,451187849,eng,22587,493
669,Capitalism: The Unknown Ideal,Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen,3.87,451147952,eng,3426,494
670,Letters of Ayn Rand,Ayn Rand-Michael S. Berliner-Leonard Peikoff,3.97,452274044,eng,18,495
672,Sailing for Dummies,J.J. Isler-Peter Isler,3.94,471791431,eng,135,496
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.87,553803816,eng,602,497
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,375755195,eng,11894,498
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.63,1592283195,eng,47,499
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.08,975599518,en-US,1575,500
685,The Natural,Bernard Malamud-Kevin Baker,3.63,374502005,eng,8568,501
698,Digging to America,Anne Tyler,3.55,307263940,eng,16703,502
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo-Bonnie Lisle,3.77,312405545,eng,44,503
702,Modern Latin America,Thomas E. Skidmore-Peter H. Smith,3.59,019517013X,en-US,221,504
703,The Plot Against America,Philip Roth,3.75,1400079497,eng,31270,505
706,America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms,4.02,713998946,eng,79299,506
707,Naked Pictures of Famous People,Jon Stewart,3.59,688171621,en-GB,8623,507
759,Collected Stories,Gabriel García Márquez-Gregory Rabassa-J.S. Bernstein,4.19,60932686,eng,6132,508
762,Crónica de una muerte anunciada,Gabriel García Márquez,3.96,1400034957,spa,7210,509
